ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,No_of_facilities,No_of_additional_facilities
100218018,Nusa Mewah Villa Condominium,2014,1400,Cheras,Condominium,3,2,2,865,1,Kuala Lumpur,10,3
100316314,Mizumi Residences,2020,1400,Kepong,Service Residence,3,2,2,932,3,Kuala Lumpur,12,2
100316227,Flat Pkns Au3,.,650,Keramat,Flat,2,.,1,568,3,Kuala Lumpur,3,1
100316158,Maxim Citilights,2017,1350,Sentul,Service Residence,3,1,2,1095,2,Kuala Lumpur,14,5
76518404,.,.,1600,Old Klang Road,Duplex,1,1,2,775,1,Kuala Lumpur,11,4
87714486,.,.,1700,Old Klang Road,Service Residence,2,1,2,775,1,Kuala Lumpur,11,4
100250366,Kenanga Point,.,1599,Pudu,Condominium,3,1,2,900,3,Kuala Lumpur,9,.
100316127,Royal Domain Sri Putramas 2,2007,1880,Jalan Kuching,Service Residence,3,1,2,1290,3,Kuala Lumpur,11,2
100316108,Villa Crystal,2017,1800,Segambut,Condominium,3,2,3,1298,3,Kuala Lumpur,7,.
100316104,Damansara Foresta,2016,2000,Sri Damansara,Condominium,4,2,3,1492,3,Kuala Lumpur,9,.
100316101,Damansara Foresta,2016,2800,Sri Damansara,Condominium,3,2,3,1610,1,Kuala Lumpur,9,.
98738510,Tuan Residency,.,1800,Jalan Kuching,Service Residence,3,1,2,1105,1,Kuala Lumpur,14,5
100003084,PPA1M Bukit Jalil,.,1300,Bukit Jalil,Apartment,4,1,2,1200,2,Kuala Lumpur,3,5
100315810,Vista Angkasa,.,1800,Bangsar South,Apartment,3,.,2,1200,3,Kuala Lumpur,5,2
100172151,Suasana Lumayan,2015,1800,Cheras,Condominium,4,.,2,1142,3,Kuala Lumpur,5,1
100315773,Menara Sri Cendana,.,1500,Setiawangsa,Apartment,3,.,1,874,3,Kuala Lumpur,.,.
100315645,Residensi Tasikmas,.,1300,Cheras,Apartment,3,.,2,850,1,Kuala Lumpur,.,.
100315606,Bayu Tasik 1,1999,1200,Cheras,Condominium,3,2,2,975,3,Kuala Lumpur,9,2
95891322,Cheria Heights Condo / Apartments,.,600,Cheras,Apartment,3,.,1,700,2,Kuala Lumpur,5,2
100315556,The Nest Residence @ Genting Klang,.,1499,Setapak,Service Residence,2,1,1,700,1,Kuala Lumpur,10,4
